Simplified,Chapter,Pinyin,Category,Meaning
晴,14,qíng,A,sunny
晴天,23,qíng tiān,N,sunny sky
暖和,24,nuǎn huo,A,warm
曲,20,qǔ,N,tune; melody
最,20,zuì,Adv,the most
月,20,yuè,N,moon
有,6,yǒu,V,to have
有名,10,yǒu míng,A,famous
有意思,6,yǒu yìsi,IE,interesting
有点儿,12,yǒu diǎnr,Adv,somewhat; rather; a bit
有的,22,yǒu de,Pr,some
朋友,2,péng you,N,friend
期,16,qī,N,period of time
本,10,běn,M,books and notebooks
本子,10,běn zi,N,notebook
机,23,jī,N,machine
机场,24,jī chǎng,N,airport
杂志,16,zá zhì,N,magazine
材料,19,cái liào,N,material
村,24,cūn,N,village
束,25,shù,M,bunch (of flowers)
条,23,tiáo,M,"strip; long narrow piece; (measure word for rivers, dragons, pants, fish)"
来,4,lái,V,to come
杨,4,yáng,PN,(a surname)
杭州,21,háng zhōu,PN,Hangzhou
杯,10,bēi,M,cups of things
极了,17,jí(le),Adv,extremely
林娜,1,lín nà,PN,(name of a British student)
林黛玉,22,lín dài yù,PN,(name of the lead female character in Dream of the Red Chamber)
查,16,chá,V,check; look up
树,23,shù,N,tree
样,19,yàng,M,type; the likes of
样子,17,yàng zi,N,shape; sample; model; pattern
桌子,25,zhuō zi,N,table; desk
梁祝,10,liáng zhù,PN,name of a Chinese violin concerto
梦,22,mèng,N,dream
检查,25,jiǎn chá,V,examine
棵,23,kē,M,"(measure word for trees, plants)"
楼,14,lóu,N,building
次,15,cì,M,(measure word for actions)
欧元,15,ōu yuán,N,Euro
欧洲,14,ōu zhōu,PN,Europe
款,16,kuǎn,N,sum of money
正在,24,zhèng zài,Adv,in the process of; in the middle of; (key word of a progressive construction)
正常,24,zhèng cháng,A,normal; regular
正式,20,zhèng shì,A,formal
步,13,bù,N,step
死,22,sǐ,V,die
每,12,měi,Pr,every; each
比,17,bǐ,Prep,than (indicating comparison)
比赛,21,bǐ sài,N,match/compete; have a match
毕业,26,bì yè,VO,finish school; graduate
毛,10,máo,M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
毛钱,10,máo(qián),M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
民乐,20,mín yuè,N,folk music played with traditional instruments
民族,20,mín zú,N,nation; nationality
气温,23,qì wēn,N,air temperature
水,12,shuǐ,N,water
水平,21,shuǐ píng,N,level
水电费,13,shuǐ diàn fèi,N,utility bill or fee
汇率,15,huì lǜ,N,exchange rate
汉堡,9,hàn bǎo,N,hamburger
汉字,11,hàn zì,N,Chinese character
汉语,4,hàn yǔ,N,Chinese (language)
江,20,jiāng,N,river
汽车,18,qì chē,N,automobile; motor vehicle; car
没,8,méi,Adv,not
没关系,5,méi guān xi,IE,never mind; it doesn't matter
油,19,yóu,N,oil
油彩,19,yóu cǎi,N,greasepaint
油画,19,yóu huà,N,oil painting
注意,25,zhù yì,V,pay attention to
